model,dataset,seed,user_feats,item_feats,embedding_size,learning_rate,epochs,ndcg_at_3,hit_at_3,precision_at_3,ndcg_at_1,hit_at_1,precision_at_1,train_time_sec,ndcg_at_3_slice_all,hit_at_3_slice_all,ndcg_at_3_slice_cold_user,hit_at_3_slice_cold_user,ndcg_at_3_slice_cold_item,hit_at_3_slice_cold_item,git_commit,run_id
DeepFM,ml100k,2020,on,on,10,0.001,100,0.142,0.2803,0.1154,0.1539,0.1539,0.1539,147.24774312973022,0.1419636362075399,0.2802547770700637,0.13636363636363635,0.18181818181818182,0.18677114904091024,0.368,24f2a814da0064a531e0d1c6242cf920bb569af9,e4afb55cf2df4e70b3a798a164ae2182
FIS-A1,ml100k,2020,off,on,64,0.001,100,0.0186,0.0488,0.0166,0.0202,0.0202,0.0202,191.44321203231812,0.0185857158575844,0.04883227176220807,0.022727272727272728,0.045454545454545456,0.033877114904091024,0.088,60cd42f4f7837114637814aac6b5189e1eab9d05,3a39f5094cce4f1d8d60e368066621c8
FIS-A0,ml100k,2020,off,on,64,0.001,100,0.0179,0.0488,0.0166,0.018,0.018,0.018,0.22156691551208496,0.017934816502207056,0.04883227176220807,0.022727272727272728,0.045454545454545456,0.031999999999999994,0.088,60cd42f4f7837114637814aac6b5189e1eab9d05,e75ea8ebd6614c6a8875318c26c2d280
DeepFM,ml100k,2020,on,on,10,0.001,100,0.142,0.2803,0.1154,0.1539,0.1539,0.1539,130.96776390075684,,,,,,,60cd42f4f7837114637814aac6b5189e1eab9d05,872c75249ee741eda8714d2c9bfa1516
BPR,ml100k,2020,off,off,64,0.001,100,0.1517,0.3206,0.1299,0.1454,0.1454,0.1454,5.538340091705322,0.15174614780557413,0.3205944798301486,0.13636363636363635,0.13636363636363635,0.21299422417257624,0.432,60cd42f4f7837114637814aac6b5189e1eab9d05,d5a8a1f670784d3a9ff343eba13fe463
FIS-A0,ml100k,2020,off,on,64,0.001,100,0.0179,0.0488,0.0166,0.018,0.018,0.018,0.19464492797851562,0.017934816502207056,0.04883227176220807,0.022727272727272728,0.045454545454545456,0.031999999999999994,0.088,60cd42f4f7837114637814aac6b5189e1eab9d05,a047d5c67ee04be5877671ab06abb33e
BPR,ml100k,2020,off,off,64,0.001,100,0.1517,0.3206,0.1299,0.1454,0.1454,0.1454,5.830644845962524,0.15174614780557413,0.3205944798301486,0.13636363636363635,0.13636363636363635,0.21299422417257624,0.432,60cd42f4f7837114637814aac6b5189e1eab9d05,eca803193d0e4dfb8d8988f434d0adef
BPR,ml100k,2020,off,off,64,0.001,100,0.1548,0.3142,0.1277,0.1603,0.1603,0.1603,3.8172450065612793,,,,,,,60cd42f4f7837114637814aac6b5189e1eab9d05,2ac3aa0447c441f8a06886bf50c2f950
DeepFM,ml100k,2020,on,on,10,0.001,100,0.142,0.2803,0.1154,0.1539,0.1539,0.1539,138.64453601837158,,,,,,,39ee9290de68fbbf86d56b5b3e87ed8ab5361b45,1e801b73cde0490990ffbb57a3fc51f2
DeepFM,ml100k,2020,off,off,10,0.001,100,0.0987,0.2176,0.0863,0.0987,0.0987,0.0987,27.079750061035156,,,,,,,39ee9290de68fbbf86d56b5b3e87ed8ab5361b45,67994d8b75a345b498753680ab1c088c
BPR,ml100k,2020,off,off,64,0.001,100,0.1548,0.3142,0.1277,0.1603,0.1603,0.1603,3.7253026962280273,,,,,,,39ee9290de68fbbf86d56b5b3e87ed8ab5361b45,a12dca505d4c4f6da9ba0b299fb304f8
